Basin,Loss_birds,Loss_pigs,Loss_cattle,WaterUse_birds_m3/year/head,WaterUse_pigs_m3/year/head,WaterUse_cattle_m3/year/head
Garagoa,0.25,0.25,0.25,7.3,87.4,60.2
Dir_btw_Cu_CS,0.25,0.25,0.25,7.3,87.4,60.2
Cusiana,0.25,0.25,0.25,7.3,87.4,60.2
Yucao,0.25,0.25,0.25,7.3,87.4,60.2
Guatiquia,0.25,0.25,0.25,7.3,87.4,60.2
Humea,0.25,0.25,0.25,7.3,87.4,60.2
Guacavia,0.25,0.25,0.25,7.3,87.4,60.2
Guavio,0.25,0.25,0.25,7.3,87.4,60.2
Metica,0.25,0.25,0.25,7.3,87.4,60.2
Guayuriba,0.25,0.25,0.25,7.3,87.4,60.2
Dir_btw_Gb_Yu,0.25,0.25,0.25,7.3,87.4,60.2
Dir_btw_Ca_Or,0.25,0.25,0.25,7.3,87.4,60.2
Dir_btw_Hu_Up,0.25,0.25,0.25,7.3,87.4,60.2
Melua,0.25,0.25,0.25,7.3,87.4,60.2
Cumaral,0.25,0.25,0.25,7.3,87.4,60.2
Manacacias,0.25,0.25,0.25,7.3,87.4,60.2
Dir_btw_P_Ca,0.25,0.25,0.25,7.3,87.4,60.2
Negro,0.25,0.25,0.25,7.3,87.4,60.2
Lago de Tota,0.25,0.25,0.25,7.3,87.4,60.2
Pauto,0.25,0.25,0.25,7.3,87.4,60.2
Dir_btw_Cu_Ca,0.25,0.25,0.25,7.3,87.4,60.2
Guanapalo,0.25,0.25,0.25,7.3,87.4,60.2
Lengupa,0.25,0.25,0.25,7.3,87.4,60.2
Upia,0.25,0.25,0.25,7.3,87.4,60.2
Tua,0.25,0.25,0.25,7.3,87.4,60.2
Cravo Sur,0.25,0.25,0.25,7.3,87.4,60.2
Casanare,0.25,0.25,0.25,7.3,87.4,60.2
