Basin,Dfwu,Dirr,Dliv,Dfwr,Denv,Shreve Stream Order
Garagoa,-85,-45,-25,-65,-100,1
Dir_btw_Ca_Or,-80,-40,-20,-60,-100,4
Pauto,-85,-45,-25,-65,-100,1
Dir_btw_Cu_Ca,-83,-43,-23,-63,-100,3
Guanapalo,-85,-45,-25,-65,-100,1
Lengupa,-85,-45,-25,-65,-100,1
Upia,-84,-44,-24,-64,-100,2
Tua,-85,-45,-25,-65,-100,1
Lago_de_tota,-85,-45,-25,-65,-100,1
Cravo Sur,-85,-45,-25,-65,-100,1
Dir_btw_Cu_CS,-85,-45,-25,-65,-100,1
Cusiana,-85,-45,-25,-65,-100,1
Yucao,-85,-45,-25,-65,-100,1
Guatiquia,-85,-45,-25,-65,-100,1
Humea,-85,-45,-25,-65,-100,1
Guacavia,-85,-45,-25,-65,-100,1
Guavio,-85,-45,-25,-65,-100,1
Metica,-85,-45,-25,-65,-100,1
Guayuriba,-85,-45,-25,-65,-100,1
Dir_btw_Gb_Yu,-84,-44,-24,-64,-100,2
Dir_btw_Hu_Up,-85,-45,-25,-65,-100,1
Melua,-85,-45,-25,-65,-100,1
Cumaral,-85,-45,-25,-65,-100,1
Manacacias,-84,-44,-24,-64,-100,2
Dir_btw_P_Ca,-85,-45,-25,-65,-100,1
Negro,-85,-45,-25,-65,-100,1
Casanare,-85,-45,-25,-65,-100,1
Dir_btw_Gudam_Up,0,0,0,0,-100,1
